[0, 1, 7.641579656704377, 94, 'PopulationSize6', 'TourSize2', 'Mutation0.09', 'Crossover1']
[1, 1, 5.017787452340316, 52, 'PopulationSize6', 'TourSize3', 'Mutation0.09', 'Crossover1']
[2, 3, 5.856406502455968, 44, 'PopulationSize6', 'TourSize4', 'Mutation0.09', 'Crossover1']
[3, 0, 6.065811688995673, 50, 'PopulationSize6', 'TourSize5', 'Mutation0.09', 'Crossover1']
[4, 1, 7.471101874382642, 27, 'PopulationSize6', 'TourSize6', 'Mutation0.09', 'Crossover1']
[5, 4, 7.641579656704377, 23, 'PopulationSize6', 'TourSize7', 'Mutation0.09', 'Crossover1']
[6, 7, 9.09748218039263, 39, 'PopulationSize6', 'TourSize8', 'Mutation0.09', 'Crossover1']
[7, 7, 7.476537479025902, 22, 'PopulationSize6', 'TourSize9', 'Mutation0.09', 'Crossover1']
[8, 2, 7.356676540630111, 24, 'PopulationSize6', 'TourSize10', 'Mutation0.09', 'Crossover1']
[9, 2, 4.585158621670865, 16, 'PopulationSize6', 'TourSize11', 'Mutation0.09', 'Crossover1']
[10, 5, 9.09748218039263, 16, 'PopulationSize6', 'TourSize12', 'Mutation0.09', 'Crossover1']
[11, 3, 6.558995757947332, 20, 'PopulationSize6', 'TourSize13', 'Mutation0.09', 'Crossover1']
[12, 3, 6.114426742032601, 23, 'PopulationSize6', 'TourSize14', 'Mutation0.09', 'Crossover1']
[13, 6, 6.114426742032601, 20, 'PopulationSize6', 'TourSize15', 'Mutation0.09', 'Crossover1']
[14, 3, 6.662610942924169, 16, 'PopulationSize6', 'TourSize16', 'Mutation0.09', 'Crossover1']
[15, 2, 7.010830948650412, 19, 'PopulationSize6', 'TourSize17', 'Mutation0.09', 'Crossover1']
[16, 2, 7.271909616058404, 10, 'PopulationSize6', 'TourSize18', 'Mutation0.09', 'Crossover1']
[17, 4, 5.652409108621687, 13, 'PopulationSize6', 'TourSize19', 'Mutation0.09', 'Crossover1']
[18, 6, 7.471101874382642, 135, 'PopulationSize8', 'TourSize2', 'Mutation0.09', 'Crossover1']
[19, 3, 6.335273934886392, 103, 'PopulationSize8', 'TourSize3', 'Mutation0.09', 'Crossover1']
[20, 3, 5.522239027087474, 93, 'PopulationSize8', 'TourSize4', 'Mutation0.09', 'Crossover1']
[21, 6, 9.09748218039263, 58, 'PopulationSize8', 'TourSize5', 'Mutation0.09', 'Crossover1']
[22, 6, 6.469317379411426, 56, 'PopulationSize8', 'TourSize6', 'Mutation0.09', 'Crossover1']
[23, 4, 6.660433542414868, 34, 'PopulationSize8', 'TourSize7', 'Mutation0.09', 'Crossover1']
[24, 6, 9.09748218039263, 45, 'PopulationSize8', 'TourSize8', 'Mutation0.09', 'Crossover1']
[25, 2, 6.464772975121851, 29, 'PopulationSize8', 'TourSize9', 'Mutation0.09', 'Crossover1']
[26, 4, 6.935710625221609, 30, 'PopulationSize8', 'TourSize10', 'Mutation0.09', 'Crossover1']
[27, 2, 7.641579656704377, 22, 'PopulationSize8', 'TourSize11', 'Mutation0.09', 'Crossover1']
[28, 4, 7.581495120179696, 40, 'PopulationSize8', 'TourSize12', 'Mutation0.09', 'Crossover1']
[29, 4, 6.944800058615954, 21, 'PopulationSize8', 'TourSize13', 'Mutation0.09', 'Crossover1']
[30, 3, 7.356676540630111, 15, 'PopulationSize8', 'TourSize14', 'Mutation0.09', 'Crossover1']
[31, 3, 7.581495120179696, 14, 'PopulationSize8', 'TourSize15', 'Mutation0.09', 'Crossover1']
[32, 2, 5.835277296766697, 21, 'PopulationSize8', 'TourSize16', 'Mutation0.09', 'Crossover1']
[33, 1, 6.1068483521351125, 13, 'PopulationSize8', 'TourSize17', 'Mutation0.09', 'Crossover1']
[34, 1, 6.1068483521351125, 13, 'PopulationSize8', 'TourSize18', 'Mutation0.09', 'Crossover1']
[35, 2, 4.4994800128276315, 11, 'PopulationSize8', 'TourSize19', 'Mutation0.09', 'Crossover1']
[36, 1, 7.476537479025902, 105, 'PopulationSize10', 'TourSize2', 'Mutation0.09', 'Crossover1']
[37, 2, 9.09748218039263, 147, 'PopulationSize10', 'TourSize3', 'Mutation0.09', 'Crossover1']
[38, 2, 9.09748218039263, 136, 'PopulationSize10', 'TourSize4', 'Mutation0.09', 'Crossover1']
[39, 3, 5.835277296766697, 60, 'PopulationSize10', 'TourSize5', 'Mutation0.09', 'Crossover1']
[40, 2, 6.8036817366775955, 74, 'PopulationSize10', 'TourSize6', 'Mutation0.09', 'Crossover1']
[41, 3, 7.356676540630111, 43, 'PopulationSize10', 'TourSize7', 'Mutation0.09', 'Crossover1']
[42, 2, 6.464772975121851, 47, 'PopulationSize10', 'TourSize8', 'Mutation0.09', 'Crossover1']
[43, 1, 7.471101874382642, 32, 'PopulationSize10', 'TourSize9', 'Mutation0.09', 'Crossover1']
[44, 3, 9.09748218039263, 31, 'PopulationSize10', 'TourSize10', 'Mutation0.09', 'Crossover1']
[45, 0, 7.356676540630111, 40, 'PopulationSize10', 'TourSize11', 'Mutation0.09', 'Crossover1']
[46, 3, 7.088828193083081, 20, 'PopulationSize10', 'TourSize12', 'Mutation0.09', 'Crossover1']
[47, 7, 6.114426742032601, 38, 'PopulationSize10', 'TourSize13', 'Mutation0.09', 'Crossover1']
[48, 3, 9.09748218039263, 34, 'PopulationSize10', 'TourSize14', 'Mutation0.09', 'Crossover1']
[49, 6, 5.736876728896164, 25, 'PopulationSize10', 'TourSize15', 'Mutation0.09', 'Crossover1']
[50, 5, 5.736876728896164, 41, 'PopulationSize10', 'TourSize16', 'Mutation0.09', 'Crossover1']
[51, 1, 6.086644963587851, 15, 'PopulationSize10', 'TourSize17', 'Mutation0.09', 'Crossover1']
[52, 0, 7.010830948650412, 18, 'PopulationSize10', 'TourSize18', 'Mutation0.09', 'Crossover1']
[53, 6, 7.088828193083081, 19, 'PopulationSize10', 'TourSize19', 'Mutation0.09', 'Crossover1']
[54, 3, 7.476537479025902, 218, 'PopulationSize12', 'TourSize2', 'Mutation0.09', 'Crossover1']
[55, 3, 7.641579656704377, 161, 'PopulationSize12', 'TourSize3', 'Mutation0.09', 'Crossover1']
[56, 2, 7.471101874382642, 135, 'PopulationSize12', 'TourSize4', 'Mutation0.09', 'Crossover1']
[57, 2, 7.356676540630111, 84, 'PopulationSize12', 'TourSize5', 'Mutation0.09', 'Crossover1']
[58, 3, 7.356676540630111, 89, 'PopulationSize12', 'TourSize6', 'Mutation0.09', 'Crossover1']
[59, 2, 7.685597848296762, 77, 'PopulationSize12', 'TourSize7', 'Mutation0.09', 'Crossover1']
[60, 2, 6.225790240118679, 31, 'PopulationSize12', 'TourSize8', 'Mutation0.09', 'Crossover1']
[61, 2, 6.464772975121851, 29, 'PopulationSize12', 'TourSize9', 'Mutation0.09', 'Crossover1']
[62, 2, 6.421643515208379, 50, 'PopulationSize12', 'TourSize10', 'Mutation0.09', 'Crossover1']
[63, 4, 7.641579656704377, 95, 'PopulationSize12', 'TourSize11', 'Mutation0.09', 'Crossover1']
[64, 1, 9.09748218039263, 21, 'PopulationSize12', 'TourSize12', 'Mutation0.09', 'Crossover1']
[65, 2, 7.088828193083081, 40, 'PopulationSize12', 'TourSize13', 'Mutation0.09', 'Crossover1']
[66, 5, 7.356676540630111, 38, 'PopulationSize12', 'TourSize14', 'Mutation0.09', 'Crossover1']
[67, 2, 7.088828193083081, 18, 'PopulationSize12', 'TourSize15', 'Mutation0.09', 'Crossover1']
[68, 4, 9.09748218039263, 22, 'PopulationSize12', 'TourSize16', 'Mutation0.09', 'Crossover1']
[69, 2, 7.641579656704377, 27, 'PopulationSize12', 'TourSize17', 'Mutation0.09', 'Crossover1']
[70, 2, 5.522239027087474, 19, 'PopulationSize12', 'TourSize18', 'Mutation0.09', 'Crossover1']
[71, 2, 7.476537479025902, 32, 'PopulationSize12', 'TourSize19', 'Mutation0.09', 'Crossover1']
[72, 5, 7.641579656704377, 196, 'PopulationSize14', 'TourSize2', 'Mutation0.09', 'Crossover1']
[73, 2, 9.09748218039263, 219, 'PopulationSize14', 'TourSize3', 'Mutation0.09', 'Crossover1']
[74, 3, 7.088828193083081, 177, 'PopulationSize14', 'TourSize4', 'Mutation0.09', 'Crossover1']
[75, 2, 7.471101874382642, 106, 'PopulationSize14', 'TourSize5', 'Mutation0.09', 'Crossover1']
[76, 3, 6.944800058615954, 118, 'PopulationSize14', 'TourSize6', 'Mutation0.09', 'Crossover1']
[77, 1, 6.944800058615954, 63, 'PopulationSize14', 'TourSize7', 'Mutation0.09', 'Crossover1']
[78, 3, 6.065811688995673, 48, 'PopulationSize14', 'TourSize8', 'Mutation0.09', 'Crossover1']
[79, 8, 7.581495120179696, 62, 'PopulationSize14', 'TourSize9', 'Mutation0.09', 'Crossover1']
[80, 2, 6.8036817366775955, 49, 'PopulationSize14', 'TourSize10', 'Mutation0.09', 'Crossover1']
[81, 1, 7.471101874382642, 30, 'PopulationSize14', 'TourSize11', 'Mutation0.09', 'Crossover1']
[82, 0, 7.010830948650412, 36, 'PopulationSize14', 'TourSize12', 'Mutation0.09', 'Crossover1']
[83, 4, 6.771553761659426, 42, 'PopulationSize14', 'TourSize13', 'Mutation0.09', 'Crossover1']
[84, 1, 7.641579656704377, 23, 'PopulationSize14', 'TourSize14', 'Mutation0.09', 'Crossover1']
[85, 3, 9.09748218039263, 35, 'PopulationSize14', 'TourSize15', 'Mutation0.09', 'Crossover1']
[86, 1, 4.582132006919384, 30, 'PopulationSize14', 'TourSize16', 'Mutation0.09', 'Crossover1']
[87, 2, 7.088828193083081, 22, 'PopulationSize14', 'TourSize17', 'Mutation0.09', 'Crossover1']
[88, 1, 6.32871528171942, 30, 'PopulationSize14', 'TourSize18', 'Mutation0.09', 'Crossover1']
[89, 1, 6.660433542414868, 27, 'PopulationSize14', 'TourSize19', 'Mutation0.09', 'Crossover1']
[90, 4, 7.271909616058404, 258, 'PopulationSize16', 'TourSize2', 'Mutation0.09', 'Crossover1']
[91, 3, 7.476537479025902, 202, 'PopulationSize16', 'TourSize3', 'Mutation0.09', 'Crossover1']
[92, 3, 9.09748218039263, 163, 'PopulationSize16', 'TourSize4', 'Mutation0.09', 'Crossover1']
